Cats,Tree Lengths
2,1.3084,1.5150
3,1.3401,1.4304,1.4884
4,1.3570,1.3793,1.5403,1.4484
5,1.3780,1.3872,1.4899,1.4981,1.4022
6,1.2026,1.3065,1.5919,1.4467,1.8918,10.6874
7,1.0919,1.4157,1.4236,2.0392,1.4957,10.7956,2.0433
8,1.0801,1.2241,1.5130,1.5171,1.4177,2.3194,2.1027,1.9444
9,0.9520,1.6071,1.6521,1.5516,1.2737,1.6235,2.3194,10.8456,2.1497
10,0.9439,1.0301,1.3933,1.2693,1.2921,1.8890,1.9550,3.5565,2.1912,2.1676
11,0.7510,1.2431,1.1360,1.4335,1.6127,2.4209,2.0814,1.8662,1.8956,1.8905,2.0376
12,0.6264,1.2436,1.3792,1.3410,1.3150,1.7687,1.5645,1.9708,1.9537,2.0151,2.9750,10.7720
13,0.6990,1.9624,1.1366,1.2263,1.4004,1.3834,1.4768,1.9830,2.3211,1.6771,2.7912,2.9449,10.6748
14,0.6472,1.6623,1.2502,1.1665,1.2146,2.0626,1.6567,2.3602,2.2354,1.5285,1.7176,2.0745,2.6094,10.7462
15,0.6408,1.0806,1.2799,1.5772,1.9147,1.8736,2.2624,1.6582,2.9160,2.0501,1.7665,5.4608,2.0133,3.7029,10.7537
