0.0878871813,0.1158742512,0.0798478677,0.1088779733,0.2350507111
0.1036814145,0.0895790544,0.1102112823,0.1003182090,0.1559805998
0.0950235780,0.1042069926,0.1067175604,0.0866223058,0.1776058415
0.0925689104,0.1024483036,0.1217993411,0.1171382863,0.2104717461
0.0811753784,0.1185435961,0.0951747140,0.0875896129,0.2183576085
0.0879780340,0.1058389740,0.0999824040,0.0840843161,0.1846308647
0.1209474654,0.1077807027,0.1011919365,0.1047723578,0.1979022475
0.1078077777,0.1099568861,0.0929754485,0.0869452010,0.1970445330
0.0960428367,0.0973635513,0.0938489897,0.1185392493,0.1865591784
0.0852332025,0.0809983915,0.1116760235,0.1064712282,0.2077983622
