Parent,Gene,Rep,Sp1,Sp2,Sp3,Sp4,Stem
Founder,8,4,0.0076229279,0.0076236142,0.0138946035,0.0085320756,0.0253661562
Founder,8,5,0.0080442194,0.0152350999,0.0114446782,0.0092282942,0.0168890374
Founder,8,6,0.0101118805,0.0060209003,0.0080458406,0.0142075669,0.017364194
Founder,8,7,0.0131682287,0.0121550501,0.0080632169,0.0111250486,0.0194615156
Founder,8,8,0.0080400696,0.0131897253,0.0090966392,0.0060193284,0.0225567861
Founder,8,9,0.0052190858,0.0139773603,0.0129555922,0.0092934789,0.012199689
Founder,9,0,0.0179231397,0.0189915438,0.009636182,0.0107165237,0.0295964682
Founder,9,1,0.0070499435,0.0070497633,0.0085710456,0.013899663,0.0192005185
Founder,9,2,0.0070368159,0.0111342186,0.0138097695,0.0137907609,0.0244578621
Founder,9,3,0.0121893529,0.0080227258,0.0132066873,0.0110960878,0.0236536501
Founder,9,4,0.0142147054,0.0121367632,0.0111209574,0.0080678759,0.0163433967
Founder,9,5,0.0121632785,0.0070247573,0.0090734161,0.0111307884,0.0215276845
Founder,9,6,0.0141822675,0.0142271222,0.0126651316,0.0159293438,0.031970629
Founder,9,7,0.0134133731,0.0133779177,0.007021654,0.0091125957,0.0242166918
Founder,9,8,0.0075881645,0.0097633964,0.0111392809,0.0111130046,0.0171596925
Founder,9,9,0.0111323157,0.0080533842,0.0080692466,0.0070457556,0.019423566
Founder,10,0,0.0106629433,0.0128029906,0.0131818889,0.0111148126,0.0244945226
Founder,10,1,0.0117834205,0.0096455175,0.0087984939,0.0044130513,0.0211543249
Founder,10,2,0.0079514992,0.0157380797,0.0090634635,0.0091077487,0.0211221524
Founder,10,3,0.0121501655,0.0080565582,0.0060284945,0.0090877388,0.0142523732
Founder,10,4,0.0147474458,0.0095522487,0.0101597319,0.0143670989,0.0202685502
Founder,10,5,0.0121619579,0.0080449948,0.0121368243,0.0152396747,0.0226034992
Founder,10,6,0.0121612123,0.0060130503,0.0049979672,0.0080908423,0.0225386535
Founder,10,7,0.0086665016,0.0097340858,0.0090783258,0.0111260558,0.0150454673
Founder,10,8,0.0121474876,0.0121474947,0.0121477431,0.0111225497,0.0142681583
Founder,10,9,0.0060156775,0.0111359715,0.0060326396,0.0070536814,0.0183723392
Oner,1,0,0.0121618791,0.0080450728,0.010102903,0.0101024898,0.0225752323
Oner,1,1,0.0111353062,0.008050171,0.0049951186,0.0101229705,0.0225483989
Oner,1,2,0.0101088734,0.0080568351,0.0124170634,0.0113149701,0.0200035663
Oner,1,3,0.0029892451,0.0060533772,0.0100987418,0.0111279259,0.0225189373
Oner,1,4,0.0050207338,0.0070529254,0.0138480256,0.0190953279,0.0117634768
Oner,1,5,0.0152311596,0.0111181774,0.0076861313,0.0066046458,0.0150887083
Oner,1,6,0.011150624,0.0060006888,0.0090759597,0.0101079401,0.0267432497
Oner,1,7,0.0080272904,0.0152524729,0.0080537593,0.01011133,0.0236282147
Oner,1,8,0.0101102132,0.0060253201,0.0116835215,0.0148979568,0.0223433947
Oner,1,9,0.0128351216,0.009639,0.0111240116,0.0111236195,0.0192221608
Oner,2,0,0.0149530308,0.011764032,0.0070273243,0.0111450966,0.0118352656
Oner,2,1,0.008035052,0.012172072,0.0108510582,0.0053928463,0.0297760616
Oner,2,2,0.0074928708,0.0139200295,0.008060649,0.0090871688,0.0223742367
Oner,2,3,0.0105765624,0.0169911753,0.0114882598,0.0069391325,0.0294774241
Oner,2,4,0.0064655307,0.0129026235,0.0060507648,0.0029912889,0.020247362
Oner,2,5,0.0086521504,0.0086526424,0.009083029,0.0090826668,0.0234246262
Oner,2,6,0.0070438335,0.0060450614,0.007076752,0.0049989623,0.0245888108
Oner,2,7,0.0106154922,0.014711245,0.0136986671,0.0095776254,0.0215582288
Oner,2,8,0.0080654891,0.0080651775,0.0080936762,0.0029720696,0.0245927356
Oner,2,9,0.0085798292,0.0118190912,0.0111125047,0.018334307,0.0213676767
Oner,3,0,0.012180387,0.0110991888,0.0121599096,0.0100960739,0.0184329161
Oner,3,1,0.0090906832,0.0111192666,0.0173333365,0.0121093801,0.0257724117
Oner,3,2,0.0121723756,0.0080374435,0.0100979839,0.0080726607,0.019447432
Oner,3,3,0.0152405226,0.0090609828,0.0101017418,0.0101020747,0.0194603127
Oner,3,4,0.0060267814,0.0080741411,0.0082293,0.0082287669,0.0211330949
Oner,3,5,0.0060008467,0.0083425909,0.0080587377,0.0090882361,0.0253930579
Oner,3,6,0.010108617,0.0080572824,0.0131858737,0.0070247924,0.0194416839
Oner,3,7,0.0149015529,0.010673376,0.0101171167,0.0090695316,0.0192035107
Oner,3,8,0.0070318776,0.0101171151,0.0043448861,0.0108896511,0.0245004373
Oner,3,9,0.0060070861,0.0111448451,0.0128259574,0.0096161412,0.0234110413
Oner,4,0,0.0101027367,0.0131723214,0.0128317644,0.0096542996,0.0181780945
Oner,4,1,0.0080251235,0.01358062,0.0111245292,0.0131738243,0.0222005548
Oner,4,2,0.0111288395,0.0090761252,0.0060241288,0.0090920375,0.0183892736
Oner,4,3,0.0142020171,0.0100969237,0.0029901985,0.0080762019,0.0163151289
Oner,4,4,0.0162558674,0.0039737178,0.0090822668,0.0090824476,0.0142691094
Oner,4,5,0.0111523004,0.0029576313,0.0029842787,0.0070692178,0.0214592089
Oner,4,6,0.0121662526,0.0080407291,0.0070239833,0.011143774,0.025706939
Oner,4,7,0.0090488842,0.0121822588,0.0107213881,0.0106834373,0.0255499289
Oner,4,8,0.0101058371,0.0090786992,0.0085973161,0.0118075851,0.0202732379
Oner,4,9,0.0139141677,0.0083384524,0.00580346,0.0084361986,0.0213550436
Oner,5,0,0.0101116059,0.0080544367,0.0090726137,0.0111325574,0.023610289
Oner,5,1,0.0066200994,0.0066206946,0.0101050159,0.009079352,0.0182126203
Oner,5,2,0.0107299132,0.0107301448,0.0081334562,0.0114794271,0.0177112004
Oner,5,3,0.0117932697,0.0073945676,0.0064150925,0.0066701543,0.0340754545
Oner,5,4,0.0111281113,0.0100978118,0.0142108416,0.0111127695,0.0225998608
Oner,5,5,0.0060231003,0.0080773039,0.0107240016,0.0096481824,0.0254979409
Oner,5,6,0.0121441184,0.0131770098,0.0131863568,0.0090637616,0.0226047211
Oner,5,7,0.0090904171,0.0070405814,0.0039886501,0.009101698,0.0204423942
Oner,5,8,0.0098058961,0.0054825338,0.0121542415,0.0080524523,0.0171734239
Oner,5,9,0.0086159007,0.0097330257,0.0101403672,0.0059964174,0.0213281021
Oner,6,0,0.0070249453,0.0111436507,0.0074931229,0.0128743591,0.0255357059
Oner,6,1,0.0054482425,0.0108479605,0.0065851957,0.0076720462,0.019070246
